coursecode,name,department,prereqcode,coreqcode
EEL 4912,Integrated Product and Process Design 1,Electrical & Computer Engineering,EEE 3308C; EEL 3701C,
EEL 4913,Integrated Product and Process Design 2,Electrical & Computer Engineering,EEL 4912,
EEL 4924C,Electrical Engineering Design 2,Electrical & Computer Engineering,EEL 3923C,
EEL 4930,Special Topics in Electrical Engineering,Electrical & Computer Engineering,,
EEL 4948,Practical Work in Electrical and Computer Engineering,Electrical & Computer Engineering,EEL 3111C; EEL 3701C,
EEL 4949,Co-op Work Experience,Electrical & Computer Engineering,,
EES 3008,Energy and Environment,Environmental Eng. Sciences,,
EES 3206,Environmental Chemistry,Environmental Eng. Sciences,CHM 2046; CHM 2096; MAC 2311,
EES 4005C,Ecological Engineering,Environmental Eng. Sciences,CHM 2046; CHM 2096,EES 4203
EES 4050,Environmental Planning and Design,Environmental Eng. Sciences,,
EES 4102,Wastewater Microbiology,Environmental Eng. Sciences,CHM 2046,
EES 4201,Water Chemistry,Environmental Eng. Sciences,CHM 2046; CHM 2096; MAC 2311; MAC 2233,
EES 4203,Phase Partitioning in the Environment,Environmental Eng. Sciences,CHM 2046; CHM 2096,
EGM 2511,Engineering Mechanics: Statics,Mechanical & Aerospace Engineering,PHY 2048,MAC 2313
EGM 3344,Introduction to Numerical Methods of Engineering Analysis,Mechanical & Aerospace Engineering,MAC 2313; COP 2271,MAP 2302
EGM 3400,Elements of Dynamics,Engineering (General),EGM 2511; MAC 2313,
EGM 3401,Engineering Mechanics: Dynamics,Mechanical & Aerospace Engineering,EGM 2511; MAC 2313,
EGM 3520,Mechanics of Materials,Mechanical & Aerospace Engineering,EGM 2511; MAC 2313,
EGM 4585,Modeling and Control of Biomolecular Machines,Mechanical & Aerospace Engineering,MAP 2302,
EGM 4590,Biodynamics,Mechanical & Aerospace Engineering,EGM 3400; EGM 3401,
EGM 4592,Bio-Solid Mechanics,Mechanical & Aerospace Engineering,EGM 3520,
EGM 4853,Bio-Fluid Mechanics and Bio-Heat Transfer,Mechanical & Aerospace Engineering,EGN 3353C,
EGN 1935,Special Topics in Freshman Engineering,Biomedical Engineering,,
EGN 2020C,Engineering Design & Society,Engineering (General),,
EGN 3353C,Fluid Mechanics,Mechanical & Aerospace Engineering,MAC 2313; EGM 2511; EML 3100; EML 3007; BME 3060,
EGN 4641,Engineering Entrepreneurship,Engineering (General),,
EGN 4643,Engineering Innovation,Engineering (General),,
EGN 4912,Engineering Directed Independent Research,Agricultural & Biological Eng.,,
EGN 4930,Sales Engineer Seminar,Industrial & Systems Engineering,,
EGN 4932,Special Topics,Engineering (General),,
EGN 4940,NSF Fellowship Preparation,Engineering (General),,
EGN 4949,Engineering Internship/Co-op,Engineering (General),,
EGN 4951,Integrated Product and Process Design 1,Engineering (General),,
EGN 4952,Integrated Product and Process Design 2,Engineering (General),EGN 4951,
EGN 4956,International Studies in Engineering,Engineering (General),,
EGS 1006,Introduction to Engineering,Industrial & Systems Engineering,,
EGS 2036,Fundamentals of the New Engineer,Engineering (General),,
EGS 4034,Engineering Ethics and Professionalism,Engineering (General),,
EGS 4038,Engineering Leadership,Engineering (General),,
EGS 4100,Divergent Thinking,Engineering (General),,
EGS 4619,Agile Project Management for Engineers and Scientists,Engineering (General),,
EGS 4625,Fundamentals of Engineering Project Management,Engineering (General),,
EGS 4680,Advanced Engineering Leadership Development,Engineering (General),EGS 4038,
EIN 2002,Introduction to Industrial and Systems Engineering,Industrial & Systems Engineering,,
EIN 3241,Human Factors & Ergonomics,Industrial & Systems Engineering,ESI 3215C,
EIN 3354,Engineering Economy,Industrial & Systems Engineering,MAC 2312,
EIN 4210,Occupational Safety Engineering,Industrial & Systems Engineering,PHY 2049; ESI 3215C,
EIN 4242C,Workplace Ergonomics and Biomechanics,Industrial & Systems Engineering,EIN 3241; EGM 2511,
EIN 4245,Human Factors Applications,Industrial & Systems Engineering,EIN 3241; ESI 3215C,
EIN 4335,Senior Design Project,Industrial & Systems Engineering,ESI 3312; ESI 4313; ESI 4523; ESI 4356; EIN 3354; EGS 4034,
EIN 4343,Inventory and Supply Chain Systems,Industrial & Systems Engineering,ESI 3312,
EIN 4360,Facility Planning and Material Handling,Industrial & Systems Engineering,ESI 3312; EML 2023,
EIN 4451,Lean Production Systems,Industrial & Systems Engineering,ESI 3312; ESI 3215C,
EIN 4905,Special Problems in Industrial and Systems Engineering,Industrial & Systems Engineering,,
EIN 4912,Integrated Product and Process Design 1,Industrial & Systems Engineering,EIN 4354; EIN 4360C,ESI 4221C
EIN 4913,Integrated Product and Process Design 2,Industrial & Systems Engineering,EGS 4034,
EIN 4937,Industrial and Systems Engineering Seminar,Industrial & Systems Engineering,,
EIN 4944,Practical Work in Industrial and Systems Engineering,Industrial & Systems Engineering,EGS 4034,
EMA 1004,Materials Impact on Society,Materials Science & Engineering,,
EMA 3000L,Sophomore Materials Laboratory,Materials Science & Engineering,,EMA 3010
EMA 3010,Materials,Materials Science & Engineering,CHM 2045; CHM 2095,
EMA 3011,Fundamental Principles of Materials,Materials Science & Engineering,EMA 3010,
EMA 3013C,Materials Laboratory 2,Materials Science & Engineering,EMA 3080C,
EMA 3050,Introduction to Inorganic Materials,Materials Science & Engineering,EMA 3011,
EMA 3066,Introduction to Organic Materials,Materials Science & Engineering,EMA 3010; BME 3101,
EMA 3080C,Materials Laboratory 1,Materials Science & Engineering,EMA 3000L; EMA 3800,
EMA 3413,Electronic Properties of Materials,Materials Science & Engineering,EMA 3011,
EMA 3513C,Analysis of the Structure of Materials,Materials Science & Engineering,EMA 3010,
EMA 3800,Error Analyses and Optimization Methodologies in Materials Research,Materials Science & Engineering,,EMA 3010; COP 2271; COP 2273
EMA 4020L,Metallurgy Laboratory,Materials Science & Engineering,EMA 3050,EMA 4120
EMA 4041L,Advanced Ceramics Laboratory 1,Materials Science & Engineering,,EMA 4645
EMA 4061,Biomaterials: Structure and Properties,Materials Science & Engineering,,EMA 3066
EMA 4061L,Biomaterials Laboratory,Materials Science & Engineering,,EMA 4061
EMA 4062,"Biopolymers: Manufacture, Stability and Biocompatibility",Materials Science & Engineering,EMA 3066,
EMA 4120,Physical Metallurgy 1,Materials Science & Engineering,EMA 3050,
EMA 4121,Interfacial Engineering,Materials Science & Engineering,EMA 3050; EMA 3066; EMA 3413,
EMA 4125,Kinetics of Materials,Materials Science & Engineering,EMA 4314,
EMA 4144,Physical Ceramics 1,Materials Science & Engineering,EMA 3050,
EMA 4145,Physical Ceramics 2,Materials Science & Engineering,EMA 3050,
EMA 4161,Physical Properties of Polymers,Materials Science & Engineering,EMA 3066; EMA 3513C,
EMA 4161L,Polymers Laboratory,Materials Science & Engineering,,EMA 4161
EMA 4223,Mechanical Behavior of Materials,Materials Science & Engineering,EGM 3520,
EMA 4224,Physical Metallurgy 2,Materials Science & Engineering,EMA 4120; EMA 4223,
EMA 4314,Thermodynamics of Materials,Materials Science & Engineering,EMA 3010; MAP 2302,
EMA 4324,Stability of Materials,Materials Science & Engineering,EMA 4314,
EMA 4414L,Electronic Materials Laboratory,Materials Science & Engineering,,EMA 4614
EMA 4450,Li-ion Next Generation Batteries,Mechanical & Aerospace Engineering,EGM 3520; EMA 3010,
EMA 4462,Polymer Characterization,Materials Science & Engineering,EMA 3066,
EMA 4535,Sustainable Nanotechnology,Environmental Eng. Sciences,CHM 2046; CHM 2047; CHM 2096,
EMA 4614,Production of Electronic Materials,Materials Science & Engineering,EMA 3413,
EMA 4615,Compound Semiconductor Materials,Materials Science & Engineering,EEE 3396C,
EMA 4623,Process Metallurgy,Materials Science & Engineering,,EMA 4120
EMA 4645,Processing of Ceramic Materials,Materials Science & Engineering,EMA 3050,
EMA 4666,Polymer Processing,Materials Science & Engineering,EMA 3066,
EMA 4714,Materials Selection and Failure Analysis,Materials Science & Engineering,EMA 4223; EMA 4324,
EMA 4905,Individual Work,Materials Science & Engineering,,
EMA 4913,Research in Materials Science and Engineering 1,Materials Science & Engineering,,
EMA 4914,Research in Materials Science and Engineering 2,Materials Science & Engineering,,
EMA 4915,Integrated Product and Process Design Program 1,Materials Science & Engineering,,
EMA 4916,Integrated Product and Process Design Program 2,Materials Science & Engineering,,
EMA 4935,Special Topics,Materials Science & Engineering,,
EMA 4949,Co-Op Work Experience,Materials Science & Engineering,,
EML 2023,Computer Aided Graphics and Design,Mechanical & Aerospace Engineering,,
EML 2322L,Design and Manufacturing Laboratory,Mechanical & Aerospace Engineering,,
EML 2920,Department and Professional Orientation,Mechanical & Aerospace Engineering,,
EML 3005,Mechanical Engineering Design 1,Mechanical & Aerospace Engineering,COP 2271; EML 2322L; EGM 3520; EGM 3401,
EML 3007,Elements of Thermodynamics and Heat Transfer,Engineering (General),CHM 2045; MAC 2313; PHY 2048,
EML 3100,Thermodynamics,Mechanical & Aerospace Engineering,CHM 2045; CHM 2095; MAC 2313; PHY 2048,
EML 3301C,Mechanics of Materials Laboratory,Mechanical & Aerospace Engineering,EMA 3010; EGM 3520; COP 2271; ENC 2256,
EML 4140,Heat Transfer,Mechanical & Aerospace Engineering,MAP 2302; EAS 4101; EGN 3353C,
EML 4147C,Thermal Sciences Design and Laboratory,Mechanical & Aerospace Engineering,EML 3100; EML 3301C; EML 4140,
EML 4220,Vibrations,Mechanical & Aerospace Engineering,EGM 3344; EGM 3401; EGM 3520; MAP 2302,
EML 4285,Off-Highway Vehicle Design,Mechanical & Aerospace Engineering,EGM 3520,
EML 4292,Microfluidics and BioMEMS,Mechanical & Aerospace Engineering,EGN 3353C,
EML 4312,Control of Dynamic Systems,Mechanical & Aerospace Engineering,EGM 3401; EGM 3344; MAP 2302,
EML 4314C,Dynamics and Controls System Design Laboratory,Mechanical & Aerospace Engineering,EML 3301C; EML 4312,
EML 4321,Manufacturing Engineering,Mechanical & Aerospace Engineering,EMA 3010; EML 2322L; EML 3005,
EML 4416,Solar Energy Utilization,Mechanical & Aerospace Engineering,EML 3100,
EML 4450,Energy Conversion,Mechanical & Aerospace Engineering,EML 3100; EGN 3353C; EML 4140,
EML 4461,Industrial Energy Management,Mechanical & Aerospace Engineering,EML 3100,
EML 4500C,Reengineering Historic Machinery,Mechanical & Aerospace Engineering,EML 2322L; EML 3005; EML 3100,
EML 4501,Mechanical Engineering Design 2,Mechanical & Aerospace Engineering,EML 4140; EGN 3353C; EML 2322L; EML 3005; EGM 3401,
EML 4502,Mechanical Engineering Design 3,Mechanical & Aerospace Engineering,EML 4501; EAS 4700; EAS 4710,EML 4321
EML 4507,Finite Element Analysis and Design,Mechanical & Aerospace Engineering,EGM 3344; EGM 3520; MAP 2302,
EML 4535C,Automation in Production Engineering,Mechanical & Aerospace Engineering,EML 4501,
EML 4600,Refrigeration and Air Conditioning Fundamentals,Mechanical & Aerospace Engineering,EML 3100,
EML 4601,Heating and Air Conditioning System Design,Mechanical & Aerospace Engineering,EML 3100,
EML 4722,Introduction to Computational Fluid Dynamics,Mechanical & Aerospace Engineering,EAS 4101; EGN 3353C,
EML 4737,Hydronics and Pneumatics for Building Systems,Mechanical & Aerospace Engineering,EGN 3353C,
EML 4842,Autonomous Vehicles,Mechanical & Aerospace Engineering,COP 2271; COP 2273; COP 2274,
EML 4905,Individual Study in Mechanical Engineering,Mechanical & Aerospace Engineering,,
EML 4912,Integrated Product and Process Design 1: Mechanical Engineering,Mechanical & Aerospace Engineering,EGN 3353C; EGM 3401; EML 3005; EML 3301C,
EML 4913,Integrated Product and Process Design 2: Mechanical Engineering,Mechanical & Aerospace Engineering,EML 4912,
EML 4914,Undergraduate Realization Thesis,Mechanical & Aerospace Engineering,,
EML 4926,Mechanical Consulting Practice,Mechanical & Aerospace Engineering,,
EML 4930,Special Topics in Mechanical Engineering,Mechanical & Aerospace Engineering,,
EML 4945,Practical Work in Mechanical Engineering,Mechanical & Aerospace Engineering,,
EML 4949,Co-op Work Experience,Mechanical & Aerospace Engineering,,
ENV 2003,Introduction to Environmental Engineering,Environmental Eng. Sciences,,
ENV 3000,Core 2: Fundamentals of Environmental Engineering,Environmental Eng. Sciences,ENV 3001,
ENV 3001,Core 1: Introduction to Environmental Systems,Environmental Eng. Sciences,PHY 2048; CHM 2045; CHM 2095; MAC 2312,
ENV 3040C,Computational Methods in Environmental Engineering,Environmental Eng. Sciences,COP 2273,
ENV 3930,Environmental Engineering Ethics,Environmental Eng. Sciences,ENC 1101; ENC 1102,
ENV 4009,Core 5: Environmental Engineering Practice,Environmental Eng. Sciences,ENV 4454,
ENV 4041C,Environmental Analysis,Environmental Eng. Sciences,CHM 2046; CHM 2096,
ENV 4101,Elements of Atmospheric Pollution,Environmental Eng. Sciences,EES 4203; PHY 2049,
ENV 4121,Air Pollution Control Design,Environmental Eng. Sciences,ENV 4101,
ENV 4300,Solid Waste Containment Design,Environmental Eng. Sciences,ENV 4351,CWR 4202
ENV 4351,Solid and Hazardous Waste Management,Environmental Eng. Sciences,EES 4201,
ENV 4353,Solid Waste Systems Design,Environmental Eng. Sciences,ENV 4351,
ENV 4405,Nutrient Control and Water Reuse,Environmental Eng. Sciences,,
ENV 4411,Stormwater Control Systems,Environmental Eng. Sciences,,
ENV 4430,Water Treatment Process Design,Environmental Eng. Sciences,ENV 4514C; EES 4201,
ENV 4432,Potable Water System Design,Environmental Eng. Sciences,EES 4201; ENV 4514C,
ENV 4453,Core 3: Processes in Environmental Engineering,Environmental Eng. Sciences,ENV 3000,
ENV 4454,Core 4: Environmental Engineering Applications,Environmental Eng. Sciences,ENV 4453,
ENV 4501,Environmental Hydrology 1,Environmental Eng. Sciences,ENV 3040C; STA 3032; STA 2023; CWR 3201; EGN 3353C,
ENV 4506,Environmental Hydrology 2,Environmental Eng. Sciences,ENV 3040C; CWR 3201; EGN 3353C,
ENV 4514C,Water and Wastewater Treatment,Civil & Coastal Engineering,,
ENV 4532,Wastewater System Design,Environmental Eng. Sciences,ENV 4514C,CWR 4202
ENV 4545,Environmental Hydrology,Environmental Eng. Sciences,ENV 3040C; CGN 3421; CWR 3201; EGN 3353C,
ENV 4601,Environmental Resources Management,Environmental Eng. Sciences,ENV 3001,
ENV 4892,Environmental Engineering Design 1,Environmental Eng. Sciences,ENV 4453,
ENV 4893,Environmental Engineering Design 2,Environmental Eng. Sciences,ENV 4892,
ENV 4905,Individual Studies in Environmental Engineering Sciences,Environmental Eng. Sciences,,
ENV 4912,Integrated Product and Process Design 1: Environmental Engineering Sciences,Environmental Eng. Sciences,ENV 4514C,ENV 4121; ENV 4351
ENV 4913,Integrated Product and Process Design 2: Environmental Engineering Sciences,Environmental Eng. Sciences,ENV 4912,
ENV 4932,Special Problems in Environmental Engineering Sciences,Environmental Eng. Sciences,,
ENV 4949,Environmental Engineering Internship/Co-op,Environmental Eng. Sciences,,
EOC 4851,Coastal Resilience and Engineering with Nature,Civil & Coastal Engineering,CWR 3201,
EOC 4852,Coastal Dynamics and Engineering Applications,Civil & Coastal Engineering,CWR 3201,
ESI 3215C,Data Anal. for Indus. Apps.,Industrial & Systems Engineering,MAC 2312,
ESI 3312,Operations Research 1,Industrial & Systems Engineering,ESI 3327C,
ESI 3327C,Matrix and Numerical Methods in Systems Engineering,Industrial & Systems Engineering,MAC 2313; MAS 3114,
ESI 4221C,Industrial Quality Control,Industrial & Systems Engineering,ESI 3215C,
ESI 4313,Operations Research 2,Industrial & Systems Engineering,ESI 3327C; ESI 3215C,
ESI 4317,Advanced Topics in Operations Research,Industrial & Systems Engineering,ESI 3312; ESI 4313,
ESI 4356,Decision Support Systems for Industrial and Systems Engineers,Industrial & Systems Engineering,,ESI 3312
ESI 4523,Industrial Systems Simulation,Industrial & Systems Engineering,ESI 3215C,
ESI 4610,Introduction to Data Analytics,Industrial & Systems Engineering,ESI 3215C,
ESI 4611,Advanced Data Analytics,Industrial & Systems Engineering,ESI 4610,
ESI 4614,Decision Analytics Design,Industrial & Systems Engineering,ESI 3312; ESI 4610; COP 2273,
ESI 4949,Co-Op Work Experience,Industrial & Systems Engineering,EGS 4034,
IDC 4710,Virtual Reality for the Social Good,Computer & Info. Science & Eng.,,
TTE 4004C,Transportation Engineering,Civil & Coastal Engineering,,
TTE 4106,Urban Transportation Planning,Civil & Coastal Engineering,TTE 4004C,
TTE 4201,Traffic Engineering,Civil & Coastal Engineering,TTE 4004C,
TTE 4203,Highway Capacity Analysis,Civil & Coastal Engineering,TTE 4004C,
TTE 4300,Transportation Systems Analysis,Civil & Coastal Engineering,TTE 4004C,
TTE 4824,Transportation Facility Design,Civil & Coastal Engineering,TTE 4004C,
